dx_id,kk,ss,bb,pp,log10(period)
344,4,2,523232,2147483647,37.3
345,4,2,523234,2147483647,37.3
346,4,2,523240,2147483647,37.3
347,4,2,523241,2147483647,37.3
348,4,2,523268,2147483647,37.3
349,4,2,523273,2147483647,37.3
350,4,2,523278,2147483647,37.3
351,4,2,523281,2147483647,37.3
352,4,2,523288,2147483647,37.3
353,4,2,523314,2147483647,37.3
354,4,2,523336,2147483647,37.3
355,4,2,523345,2147483647,37.3
356,4,2,523377,2147483647,37.3
357,4,2,523394,2147483647,37.3
358,4,2,523411,2147483647,37.3
359,4,2,523415,2147483647,37.3
360,4,2,523429,2147483647,37.3
361,4,2,523436,2147483647,37.3
362,4,2,523445,2147483647,37.3
363,4,2,523464,2147483647,37.3
364,4,2,523522,2147483647,37.3
365,4,2,523564,2147483647,37.3
366,4,2,523571,2147483647,37.3
367,4,2,523578,2147483647,37.3
368,4,2,523600,2147483647,37.3
369,4,2,523610,2147483647,37.3
370,4,2,523619,2147483647,37.3
371,4,2,523634,2147483647,37.3
372,4,2,523642,2147483647,37.3
373,4,2,523644,2147483647,37.3
374,4,2,523674,2147483647,37.3
375,4,2,523712,2147483647,37.3
376,4,2,523721,2147483647,37.3
377,4,2,523750,2147483647,37.3
378,4,2,523757,2147483647,37.3
379,4,2,523758,2147483647,37.3
380,4,2,523787,2147483647,37.3
381,4,2,523807,2147483647,37.3
382,4,2,523822,2147483647,37.3
383,4,2,523823,2147483647,37.3
384,4,2,523833,2147483647,37.3
385,4,2,523840,2147483647,37.3
386,4,2,523844,2147483647,37.3
387,4,2,523846,2147483647,37.3
388,4,2,523850,2147483647,37.3
389,4,2,523851,2147483647,37.3
390,4,2,523867,2147483647,37.3
391,4,2,523874,2147483647,37.3
392,4,2,523877,2147483647,37.3
393,4,2,523896,2147483647,37.3
394,4,2,523913,2147483647,37.3
395,4,2,523941,2147483647,37.3
396,4,2,523972,2147483647,37.3
397,4,2,523995,2147483647,37.3
398,4,2,524019,2147483647,37.3
399,4,2,524022,2147483647,37.3
400,4,2,524043,2147483647,37.3
401,4,2,524076,2147483647,37.3
402,4,2,524079,2147483647,37.3
403,4,2,524093,2147483647,37.3
404,4,2,524096,2147483647,37.3
405,4,2,524123,2147483647,37.3
406,4,2,524126,2147483647,37.3
407,4,2,524141,2147483647,37.3
408,4,2,524160,2147483647,37.3
409,4,2,524164,2147483647,37.3
410,4,2,524176,2147483647,37.3
411,4,2,524218,2147483647,37.3
412,4,2,524238,2147483647,37.3
413,4,2,524245,2147483647,37.3
